GPSID,ETRS89_X,ETRS89_Y,ETRS89_Z,ElevMSL,Date,DEMval,diff,cntrdist,GCPdist,GCPavgdist,Internal
1498,453885.9075,6071976.198,45.8337,5.6037,20160927,5.59493732734615,-0.00876267265384634,21.6303564392765,21.7139357616611,27.4384563810143,0
1499,453885.903,6071976.198,45.8268,5.5968,20160927,5.59196923441948,-0.00483076558052264,21.6258574498441,21.7116793687628,27.4349580301112,0
1500,453885.8428,6071976.117,45.7868,5.5568,20160927,5.55952550532962,0.00272550532962068,21.5641015829677,21.7517811698456,27.3881834401931,0
1501,453886.1458,6071976.079,45.8541,5.6241,20160927,5.66440992782959,0.0403099278295862,21.8664331235809,21.9368857828596,27.6241609498741,0
1502,453886.2103,6071976.65,45.868,5.638,20160927,5.67142138776353,0.033421387763533,21.9471876937411,21.4802964430781,27.6775088578636,0
1503,453886.2101,6071976.686,45.8742,5.6442,20160927,5.66737953299386,0.023179532993856,21.9485105732777,21.4494733368037,27.677807097585,0
1504,453886.2139,6071976.712,45.8716,5.6416,20160927,5.66363756391379,0.0220375639137931,21.9534432314692,21.4292827879389,27.6811259027806,0
1505,453886.2392,6071976.99,45.8672,5.6372,20160927,5.65830399460525,0.0211039946052507,21.9927707504584,21.2061162271354,27.7056686843001,0
1506,453886.2498,6071977.54,45.8485,5.6185,20160927,5.64506662130766,0.0265666213076647,22.0414481590338,20.7472038415993,27.7289605484897,0
1507,453886.2539,6071977.756,45.8505,5.6205,20160927,5.64409130120812,0.0235913012081159,22.0642242038614,20.5681655189459,27.7400889572545,0
1508,453886.2592,6071977.86,45.842,5.612,20160927,5.64722123829264,0.0352212382926362,22.0792466647086,20.4840414331291,27.7484578726575,0
1509,453886.2662,6071977.86,45.8452,5.6152,20160927,5.64769950629756,0.0324995062975564,22.0862143221256,20.4878837178241,27.7539353968998,0
1510,453886.2622,6071977.968,45.8392,5.6092,20160927,5.63777890411544,0.0285789041154434,22.0928644924613,20.3954967979336,27.7554707514041,0
1511,453886.2625,6071978.075,45.8456,5.6156,20160927,5.63326866030304,0.0176686603030412,22.104211409266,20.306478307431,27.760610157918,0
1512,453886.2631,6071978.069,45.8517,5.6217,20160927,5.63475222874729,0.0130522287472932,22.1041749672766,20.3118068869134,27.7607971807044,0
1513,453886.2459,6071978.321,45.8439,5.6139,20160927,5.64026989205647,0.0263698920564712,22.1150669224754,20.092817308687,27.7599658805826,0
1514,453886.1916,6071979.037,45.8023,5.5723,20160927,5.57893128737369,0.00663128737368801,22.1563304557647,19.4719322610987,27.7619092534287,0
1515,453886.1044,6071979.69,45.7368,5.5068,20160927,5.55726120686877,0.0504612068687686,22.1770664246651,18.8895394584769,27.7453418974352,0
1516,453886.0472,6071980.049,45.7317,5.5017,20160927,5.5182112236638,0.0165112236637963,22.1877057130578,18.5660302072187,27.733561329475,0
1517,453885.9913,6071980.455,45.6905,5.4605,20160927,5.48760437695276,0.0271043769527566,22.2154917778224,18.2072829904159,27.7309860624097,0
1518,453885.9295,6071981.084,45.6938,5.4638,20160927,5.46525460485996,0.00145460485996107,22.297447275915,17.6711864984033,27.7544385178936,0
1519,453885.7553,6071981.836,45.6191,5.3891,20160927,5.4236584342354,0.0345584342354011,22.3219150835816,16.9752618622504,27.717788775653,0
1520,453885.6489,6071982.212,45.5955,5.3655,20160927,5.38615306522385,0.020653065223847,22.3256694050895,16.6174612623808,27.6900633096577,0
1521,453885.5385,6071982.605,45.5851,5.3551,20160927,5.35124462879861,-0.00385537120138579,22.3376720817071,16.2456320666223,27.6657126230099,0
1522,453885.3329,6071983.056,45.5172,5.2872,20160927,5.29846927617091,0.0112692761709052,22.2860746711129,15.7694117207091,27.5822899812841,0
1523,453885.1916,6071983.324,45.4872,5.2572,20160927,5.27381312225412,0.016613122254121,22.2426051591765,15.4744220235928,27.5208795681648,0
1524,453885.0844,6071983.453,45.456,5.226,20160927,5.22428159562235,-0.00171840437765436,22.1863777318784,15.3067426309456,27.4621999637881,0
1525,453884.8401,6071983.769,45.3696,5.1396,20160927,5.17433698889487,0.0347369888948741,22.0704705293386,14.9080472700642,27.3349421602832,0
1526,453884.2554,6071984.162,45.279,5.049,20160927,5.06786336764801,0.0188633676480139,21.676540460268,14.2283253678821,26.9706932238093,0
1527,453883.5349,6071984.493,45.1297,4.8997,20160927,4.94449107626262,0.0447910762626194,21.1493499390947,13.5129074080641,26.5031909174824,0
1528,453883.1846,6071984.617,45.0769,4.8469,20160927,4.87788272819255,0.0309827281925497,20.883374580228,13.1972741341301,26.2724373835109,0
1529,453882.3684,6071984.823,44.9434,4.7134,20160927,4.77205540074574,0.0586554007457387,20.2391899392157,12.5409051175063,25.7271655632598,0
1530,453881.987,6071984.903,44.8982,4.6682,20160927,4.71945764227793,0.0512576422779301,19.9357393334677,12.2553466701427,25.473666315283,0
1531,453881.9858,6071984.907,44.9048,4.6748,20160927,4.71927772815315,0.0444777281531481,19.9365126056094,12.2513740393047,25.4736995901469,0
1532,453881.4226,6071984.99,44.8242,4.5942,20160927,4.65819439165188,0.0639943916518835,19.4773929245229,11.8700858109397,25.0973960597229,0
1533,453880.6965,6071985.031,44.7583,4.5283,20160927,4.58741336186842,0.0591133618684232,18.8617254079365,11.4589515770594,24.6079031374,0
1534,453879.818,6071985.03,44.6723,4.4423,20160927,4.5020969843181,0.059796984318103,18.1018670154496,11.0508875661038,24.0207537850919,0
1535,453879.0052,6071985.019,44.6104,4.3804,20160927,4.43861658382937,0.0582165838293704,17.40340901526,10.7330791871339,23.4924528578442,0
1536,453878.2619,6071985.007,44.543,4.313,20160927,4.3617344590834,0.048734459083402,16.7726286288019,10.4911112952402,23.0244166546676,0
1537,453877.2766,6071984.96,44.4821,4.2521,20160927,4.28803832509697,0.0359383250969687,15.9334295094261,10.2753029135003,22.4212317839196,0
1538,453876.4095,6071984.926,44.4254,4.1954,20160927,4.24780409368601,0.0524040936860137,15.213973062821,10.1537991044718,21.9164472367898,0
1539,453875.5811,6071984.881,44.3889,4.1589,20160927,4.22441307514562,0.0655130751456232,14.5338789013033,10.1186802801769,21.4535880314043,0
1540,453874.6222,6071984.808,44.3274,4.0974,20160927,4.15378115356858,0.0563811535685792,13.7533416115217,10.1836944985375,20.9409286261065,1
1541,453873.9029,6071984.756,44.3004,4.0704,20160927,4.12369284732763,0.0532928473276275,13.1854459000887,10.2749112117134,20.5773711479661,1
1542,453873.1215,6071984.704,44.2727,4.0427,20160927,4.09940504192698,0.0567050419269792,12.5895207357343,9.5401830301053,20.203789917729,1
1543,453872.0967,6071984.656,44.2469,4.0169,20160927,4.06272728285327,0.0458272828532653,11.8562446079936,8.59885392897386,19.7520198117079,1
1544,453871.4314,6071984.638,44.1337,3.9037,20160927,3.92868490777044,0.0249849077704392,11.4146509570802,8.00536476125349,19.4830231938268,1
1545,453870.5002,6071984.584,44.1871,3.9571,20160927,4.01414410026825,0.0570441002682505,10.8114866389354,7.18023251971669,19.1263025028541,1
1546,453869.7545,6071984.606,44.0732,3.8432,20160927,3.9344115976159,0.0912115976159034,10.419218925533,6.57894780690432,18.8852423722509,1
1547,453868.8892,6071984.537,44.1643,3.9343,20160927,3.97878708165075,0.0444870816507481,9.93072835224044,5.86022138106035,18.605020124247,1
1548,453867.8915,6071984.501,44.0899,3.8599,20160927,3.9297420743996,0.0698420743995967,9.47572963034607,5.12192846984771,18.3373834104548,1
1549,453866.9501,6071984.495,44.0227,3.7927,20160927,3.85376735985119,0.0610673598511871,9.15284761079958,4.54129089684687,18.1411967005044,1
1550,453865.9155,6071984.503,43.9708,3.7408,20160927,3.82312445256457,0.0823244525645714,8.91427693928366,4.07583503659844,17.9924377241087,1
1551,453864.9469,6071984.467,43.9087,3.6787,20160927,3.73051177200306,0.051811772003056,8.75262469897875,3.80365043218934,17.9032691800604,1
1552,453863.8881,6071984.446,43.798,3.568,20160927,3.63282187743345,0.0648218774334492,8.71523937286172,3.79609241358932,17.8951230791292,1
1553,453862.8143,6071984.428,43.6672,3.4372,20160927,3.4922324181173,0.0550324181173023,8.81142890816209,4.08259310870851,17.976086652658,1
1554,453861.7272,6071984.422,43.5891,3.3591,20160927,3.39863249369356,0.0395324936935637,9.05040966767751,4.62531435049588,18.1436674966504,1
1555,453860.7027,6071984.439,43.4567,3.2267,20160927,3.27127600659887,0.0445760065988705,9.40690113353379,5.30847683341024,18.3728977709562,1
1556,453859.6643,6071984.441,43.3236,3.0936,20160927,3.15842910108113,0.0648291010811293,9.85070327738969,6.08988747732849,18.6536817913906,1
1557,453858.499,6071984.411,43.1995,2.9695,20160927,3.01872136085403,0.0492213608540286,10.422816835237,7.02917100386006,19.016689185122,1
1558,453857.4327,6071984.396,43.077,2.847,20160927,2.89100742466913,0.0440074246691298,11.0383430486995,7.94720374013419,19.4026684290534,1
1559,453856.3747,6071984.371,42.9708,2.7408,20160927,2.78563465721475,0.0448346572147451,11.7057809822414,8.88669134670975,19.826966822293,1
1560,453855.3861,6071984.323,42.8872,2.6572,20160927,2.69340814163504,0.0362081416350359,12.36166040291,9.7773240822018,20.2549410177396,1
1561,453854.1381,6071984.253,42.7777,2.5477,20160927,2.57259597972981,0.0248959797298052,13.242943466079,10.9229732493868,20.8432632399857,0
1562,453853.0105,6071984.234,42.5871,2.3571,20160927,2.39032653131459,0.0332265313145923,14.1138375727456,11.6942881033217,21.4311758920973,0
1563,453852.0615,6071984.237,42.4982,2.2682,20160927,2.27316418009656,0.00496418009655875,14.8843976707716,11.8829455630129,21.9614226298917,0
1564,453851.0678,6071984.198,42.3519,2.1219,20160927,2.14847893049975,0.0265789304997459,15.689438626469,12.1969717241853,22.535180167968,0
1565,453850.3815,6071984.177,42.2723,2.0423,20160927,2.06910452438049,0.0268045243804949,16.2607654810167,12.4501291255968,22.9489194639869,0
1566,453849.7134,6071984.154,42.2012,1.9712,20160927,1.98969923209352,0.0184992320935216,16.8239445851706,12.7296885568805,23.3630097723348,0
1567,453849.479,6071984.15,42.1806,1.9506,20160927,1.95933688649922,0.00873688649922211,17.0253492117887,12.8308944734553,23.5118801111258,0
1568,453849.4722,6071984.143,42.1794,1.9494,20160927,1.95943582018624,0.0100358201862354,17.0278062930102,12.8401167998456,23.5146706822602,0
1569,453849.3428,6071984.081,42.1691,1.9391,20160927,1.94762753764126,0.00852753764125902,17.1101589244913,12.9514493101009,23.5840765466797,0
1570,453848.8839,6071984.078,42.1142,1.8842,20160927,1.88925310720883,0.00505310720883023,17.5108334005626,13.1581102903598,23.8820351777468,0
1571,453848.3314,6071984.5,42.0414,1.8114,20160927,1.82506257480394,0.0136625748039361,18.1979416547431,13.0543073794567,24.3433896390412,0
1572,453847.9167,6071985.129,42.0163,1.7863,20160927,1.7856706499617,-0.000629350038302112,18.8675018094119,12.7382749810828,24.7720351405002,0
1573,453847.6462,6071985.969,41.9802,1.7502,20160927,1.77053990448799,0.0203399044879906,19.5291859040226,12.2044582446794,25.1705300223108,0
1574,453847.4787,6071987.075,41.9605,1.7305,20160927,1.7342468134116,0.00374681341159921,20.2692050330321,11.4433928659909,25.594178829058,0
1575,453847.3867,6071988.023,41.9501,1.7201,20160927,1.74432868513454,0.0242286851345404,20.8885480555209,10.8045064435288,25.9466801118512,0
1576,453847.4509,6071988.918,41.9471,1.7171,20160927,1.73736919629317,0.0202691962931663,21.3764916822592,10.1343492151363,26.1974589605861,0
1577,453847.5596,6071989.647,41.9729,1.7429,20160927,1.75432336196805,0.0114233619680453,21.7497720033868,9.57247334604303,26.379084723842,0
1578,453847.6557,6071990.078,41.9739,1.7439,20160927,1.75316177179306,0.00926177179305609,21.9549915613221,9.22678666123095,26.4717828493007,0
1579,453847.6554,6071990.159,41.978,1.748,20160927,1.7502383527858,0.0022383527858012,22.008203046478,9.17725892406758,26.5022516529387,0
1580,453847.7036,6071990.437,41.9873,1.7573,20160927,1.75877688228401,0.00147688228401033,22.1552466396928,8.97111691819195,26.5748533608838,0
1581,453848.0538,6071990.896,42.0204,1.7904,20160927,1.79186848051269,0.00146848051269322,22.2051551523446,8.4181449763022,26.5174233237983,0
1582,453848.6218,6071991.3,42.0857,1.8557,20160927,1.85074089965787,-0.00495910034212921,22.0763637738354,7.72112282253358,26.3019122062353,0
1583,453849.3984,6071991.621,42.1516,1.9216,20160927,1.93362023834496,0.0120202383449641,21.7655300282258,6.90468759300187,25.9284225763666,0
1584,453849.5985,6071991.679,42.1759,1.9459,20160927,1.95041692916813,0.00451692916813129,21.6718139375148,6.71032452664214,25.8244513801058,0
1585,453849.5938,6071991.682,42.1679,1.9379,20160927,1.94950931436545,0.0116093143654541,21.677204878613,6.71222115542598,25.828699849294,0
1586,453849.592,6071991.684,42.1721,1.9421,20160927,1.94903834417797,0.00693834417797179,21.6798954206943,6.71243026007268,25.8306819078423,0
1587,453850.0055,6071991.802,42.2198,1.9898,20160927,1.99719962241416,0.0073996224141597,21.4899279747809,6.3145791821713,25.6181992739399,0
1588,453850.7801,6071991.902,42.2791,2.0491,20160927,2.08592859687495,0.0368285968749493,21.0599696670553,5.6641476685637,25.1814651404438,0
1589,453851.5937,6071991.961,42.3883,2.1583,20160927,2.17516568366072,0.0168656836607175,20.5942859065496,5.05582815057284,24.7223839444886,0
1590,453852.4628,6071992.017,42.4965,2.2665,20160927,2.2931763747559,0.0266763747558971,20.1157915350285,4.48533334763341,24.2547238086552,0
1591,453853.358,6071992.082,42.6268,2.3968,20160927,2.40654775275205,0.0097477527520522,19.6572031272676,4.00542931484386,23.8100790830383,0
1592,453854.2538,6071992.127,42.7309,2.5009,20160927,2.51515462574201,0.0142546257420078,19.2122223863916,3.70466379537584,23.3998598068309,0
1593,453855.1039,6071992.145,42.781,2.551,20160927,2.56146048704138,0.0104604870413798,18.7982042059605,3.63186390333714,23.0472171493419,1
1594,453855.915,6071992.147,42.8036,2.5736,20160927,2.61293132245396,0.0393313224539629,18.417580625671,3.76013643368231,22.7492258651441,1
1595,453856.7021,6071992.152,42.835,2.605,20160927,2.61841806639157,0.0134180663915653,18.0781517153269,4.03665123718861,22.5010424187955,1
1596,453857.564,6071992.172,42.8886,2.6586,20160927,2.67704969219775,0.0184496921977542,17.7525520075635,4.46899362242175,22.2759841912247,1
1597,453858.5347,6071992.175,42.9833,2.7533,20160927,2.77174513628383,0.0184451362838303,17.4112503587949,5.10229347356883,22.0571411605049,1
1598,453859.5223,6071992.163,43.0828,2.8528,20160927,2.86958935779305,0.0167893577930456,17.0991409682824,5.85174168014087,21.8677662026977,1
1599,453860.4059,6071992.156,43.2003,2.9703,20160927,3.00053438086544,0.0302343808654366,16.8677251379644,6.57377045582763,21.7314478322951,1
1600,453861.2717,6071992.133,43.2948,3.0648,20160927,3.10273541763515,0.0379354176351452,16.6674318320247,7.32374518165487,21.616438614824,1
1601,453862.1809,6071992.121,43.4252,3.1952,20160927,3.22669694276866,0.0314969427686593,16.5155291465833,8.13071786537971,21.5299836182083,1
1602,453863.0621,6071992.106,43.5332,3.3032,20160927,3.34947261224042,0.0462726122404185,16.4117343011629,8.93300068346202,21.4714098524873,1
1603,453864.054,6071992.096,43.6483,3.4183,20160927,3.46972465485138,0.051424654851377,16.3579223650941,9.84967106046789,21.4409198836392,1
1604,453865.0674,6071992.1,43.7566,3.5266,20160927,3.56600291374676,0.0394029137467591,16.3791745799341,10.3601108277266,21.4521319022914,1
1605,453866.0366,6071992.131,43.874,3.644,20160927,3.67205649389681,0.0280564938968126,16.4849758750313,9.42364870740068,21.5101363696071,1
1606,453866.9055,6071992.148,43.9163,3.6863,20160927,3.72166433326115,0.0353643332611471,16.6167432134979,8.59392531096993,21.5825784456678,1
1607,453867.7768,6071992.156,43.9753,3.7453,20160927,3.79138689845897,0.0460868984589689,16.7842076714692,7.773838269376,21.6749463100821,1
1608,453868.7137,6071992.128,44.0198,3.7898,20160927,3.83694353067532,0.0471435306753234,16.9769677597068,6.92105010045314,21.7822138446442,1
1609,453869.4756,6071992.099,43.9287,3.6987,20160927,3.78701011717165,0.0883101171716532,17.1639525773607,6.24831359315865,21.8876951965661,1
1610,453870.4102,6071992.085,44.0966,3.8666,20160927,3.88660992312246,0.0200099231224629,17.456367234051,5.44389766997789,22.0549468513227,1
1611,453871.2843,6071992.068,43.9717,3.7417,20160927,3.79720069026886,0.0555006902688628,17.7664480053566,4.7374646902159,22.2372428512305,1
1612,453872.205,6071992.027,44.1241,3.8941,20160927,3.9426711938763,0.0485711938763016,18.1121825326855,4.08127651626125,22.4510262263671,1
1613,453873.1094,6071992.019,44.1399,3.9099,20160927,3.96215121353304,0.0522512135330442,18.518630741549,3.5261847596215,22.7137270259963,1
1614,453873.9768,6071991.995,44.198,3.968,20160927,4.00362700130358,0.0356270013035758,18.9268330371128,3.16515693770627,23.0019145085962,1
1615,453874.7312,6071991.972,44.2268,3.9968,20160927,4.04277031495124,0.0459703149512403,19.3047772864483,3.02562361185745,23.2933121275624,1
1616,453875.4392,6071991.956,44.2941,4.0641,20160927,4.09552923527507,0.0314292352750725,19.6838151438966,3.05715446774091,23.6072821283661,0
1617,453876.1543,6071991.916,44.3134,4.0834,20160927,4.12105344891016,0.0376534489101568,20.0655243490045,3.27166650040103,23.9517065640436,0
1618,453877.0188,6071991.883,44.3868,4.1568,20160927,4.20087521012061,0.0440752101206074,20.5629104301114,3.69044734942232,24.4155817192872,0
1619,453877.7544,6071991.852,44.433,4.203,20160927,4.26616442035419,0.063164420354191,21.0026866661191,4.15900336154256,24.8377989030771,0
